Ch,Count
726,2324
727,2153
728,2051
729,1920
730,1945
731,1676
732,1670
733,1554
734,1445
735,1369
736,1306
737,1219
738,1153
739,1069
740,981
741,940
742,845
743,859
744,742
745,705
746,642
747,621
748,549
749,488
750,511
751,429
752,403
753,367
754,368
755,289
756,259
757,253
758,273
759,213
760,212
761,205
762,188
763,170
764,155
765,171
766,145
767,124
768,123
769,128
770,104
771,114
772,99
773,107
774,108
775,92
776,87
777,87
778,84
779,83
780,81
781,82
782,84
783,77
784,73
785,92
786,70
787,90
788,91
789,82
790,69
791,72
792,77
793,65
794,76
795,63
796,73
797,70
798,59
799,64
800,80
801,80
802,70
803,72
804,82
805,85
806,81
807,82
808,73
809,70
810,67
811,66
812,65
813,72
814,74
815,74
816,63
817,80
818,85
819,66
820,67
821,65
822,61
823,59
824,59
825,72
826,67
827,64
828,54
829,58
830,69
831,60
832,72
833,60
834,72
835,57
836,55
837,67
838,61
839,62
840,59
841,59
842,50
843,58
844,67
845,54
846,64
847,54
848,55
849,62
850,52
851,54
852,56
853,52
854,56
855,54
856,47
857,53
858,54
859,37
860,52
861,56
862,56
863,44
864,54
865,52
866,49
867,44
868,52
869,51
870,53
871,58
872,59
873,51
874,52
875,46
876,47
877,47
878,55
879,45
880,53
881,59
882,47
883,50
884,46
885,45
886,48
887,48
888,49
889,51
890,41
891,35
892,37
893,58
894,41
895,38
896,46
897,44
898,36
899,37
900,36
901,51
902,37
903,45
904,42
905,45
906,45
907,32
908,36
909,36
910,40
911,51
912,42
913,38
914,38
915,44
916,26
917,42
918,32
919,38
920,44
921,34
922,32
923,32
924,41
925,33
926,32
927,29
928,35
929,46
930,22
931,39
932,38
933,37
934,34
935,38
936,28
937,31
938,34
939,46
940,25
941,41
942,22
943,23
944,39
945,27
946,30
947,37
948,26
949,23
950,39
951,39
952,30
953,32
954,33
955,27
956,20
957,25
958,29
959,27
960,26
961,36
962,36
963,19
964,33
965,29
966,31
967,41
968,38
969,22
970,28
971,33
972,27
973,24
974,20
975,25
976,27
977,32
978,24
979,23
980,28
981,32
982,30
983,28
984,30
985,28
986,17
987,23
988,26
989,24
990,28
991,29
992,26
993,32
994,27
995,24
996,30
997,26
998,23
999,20
1000,31
1001,25
1002,23
1003,26
1004,26
1005,27
1006,23
1007,20
1008,24
